** Proposer deux solutions pour réduire l’asymétrie d’information sur le marché des biens et services. 	L’affichage des prix et des caractéristiques des produits, obligation d’information du client, internet, les notices d’utilisation, les contrôles obligatoires de certains produits (chaudières, voitures, …) 
* Citer un terme anglais permettant de désigner l’externalisation du système d’information. 	Outsourcing  
*** Distinguer IaaS, SaaS et PaaS. Iaas : 	Infrastructure as a service, il s’agit d’externaliser le matériel, l'hébergement et le Framework. SaaS : Software as a Service, Il s’agit d’externaliser aussi les logiciels PaaS : Platform as a service. Il s’agit de se connecter à distance à un portail de services 
** Nommer la théorie qui permet d’identifier les besoins des clients. 	La théorie de la valeur. Objectif : adapter un produit aux besoins des clients. 
* Vrai ou Faux : L’État intervient sur le fonctionnement des marchés. 	VRAI 
* Vrai ou Faux : Une externalité est un effet voulu par l’agent économique qui le produit. 	Faux,  L’activité économique est voulue par l’agent économique mais pas ses conséquences. 
** Définir la notion de bien public. 	C’est un bien dont l’utilisation est non-rivale (la C du bien par un agent n'empêche pas sa C par un autre) et non-exclusive, (il n’est pas possible d’empêcher un agent de consommer ce bien). 
* Préciser quelle est la place de l’État dans l’économie au 19ème siècle. 	État gendarme Peu d’intervention dans l’économie. 
** Proposer deux solutions que l’État peut mettre en œuvre pour gérer les externalités négatives. 	- En réglementant les activités polluantes, - En taxant (principe du pollueur payeur), - En mettant en place un marché des droits à polluer. - … 
* Préciser la répartition les échanges internationaux aujourd’hui. (proportion de marchandises, services, produits primaires). Aujourd’hui, répartition assez stable : 	- 65% de marchandises, - 22% de services, - 13% de produits primaires. 
* Vrai ou Faux : Depuis la fin de la seconde guerre mondiale, le volume des échanges commerciaux est resté stable. 	Faux, Il a fortement augmenté. 
* Vrai ou Faux : La théorie des avantages relatifs se justifie par la participation de chaque pays au commerce international. 	VRAI 
** Citer trois effets de l’internationalisation sur un secteur d’activité. 	L’internationalisation permet les économies d’échelle, la conquête de nouveaux marchés, le contournement de certains obstacles protectionnistes à l’entrée ou à la sortie des marchés, des gains grâce aux taux de change, l’optimisation fiscale,… 
** Expliquer ce que signifie l’acronyme TIC. 	TIC = technologie de l’information et de la communication. Ensemble des techniques utilisées dans le traitement et la transmission des informations (informatique, Internet et télécommunications). 
* Vrai ou Faux : Il peut y avoir développement sans croissance. 	FAUX 
* Déterminer si le PIB par habitant est un indicateur de croissance ou de développement. 	Il est un indicateur de développement car il mesure la répartition de la richesse créé sur un territoire. 
** Définir la notion de développement durable. 	Ce développement sera dit durable s’il « répond aux besoins du présent sans compromettre la capacité des générations futures à répondre à leurs propres besoins ». 
*** Expliquer comment Google réalise son chiffre d’affaires. 	Google utilise un modèle biface de fixation des prix : les services en ligne sont gratuits pour les internautes mais payants pour les annonceurs. Le chiffre d’affaires de Google provient donc des annonceurs publicitaires. 
** En 2011, Bull s’est vu décerner le « 1er prix européen » pour la mise en œuvre des meilleures pratiques énergétiques au sein d’un centre informatique. Qualifier cette pratique. 	Bull a mis en place une politique de Green-IT au sein de l’entreprise. 
**Distinguer branche d’activité et secteur d’activité.	Branche d’activité = regroupement d’entreprises fabriquant le même type de produit. Secteur d’activité = regroupement d’entreprises ayant la même activité principale.
* Nommer une entreprise du secteur informatique ayant plus de 2000 salariés.	C’est un géant du numérique. + Ex : Cisco (74 000 emplois en 2013), Wipro (158200 en 2015)… mais peu d’entreprises françaises (Orange 158000 en 2015).
** Expliquer la répartition des coûts de production dans une entreprise de services informatiques.	Ces entreprises ont très peu de coûts variables mais des coûts fixes importants (R&D, énergie,…).
* Citer trois catégories de marché.	Le marché de biens et services, Le marché du travail, Le marché des capitaux.
* Proposer 2 idées différentes expliquant le rôle du prix pour le producteur.	Le prix permet au producteur de s’enrichir. Le prix est aussi un indicateur de rentabilité de l’activité productive.
** Définir la transparence.	C’est l’une des conditions d’un marché concurrentiel : le demandeur dispose d’une information claire, précise et suffisante pour pouvoir effectuer un choix de consommation efficace.
** Expliquer ce qu’est une asymétrie d’information.	C’est une situation par laquelle un agent économique dispose d’une information insuffisante ou imparfaite pour effectuer un choix. Il se trouve donc dans une situation d’infériorité par rapport à son co-échangeur.
* Donner une définition de la monnaie scripturale.	La monnaie scripturale est une monnaie dématérialisée qui n’existe que par mouvements entre comptes bancaires.
** Indiquer la conséquence d’un excès de demande pour l’offre.	C’est une aubaine pour l’offreur car les produits étant rares, les prix vont augmenter. En revanche, c’est une situation néfaste pour le consommateur pour pourra acheter moins de produits avec le même budget à disposition.
*** Préciser sur quel type de marché évolue une entreprise de conception de site web lorsqu’elle achète du matériel de bureau.	Sur un marché en BtoC (business to consumer) car l’entreprise achète un logiciel en dehors de sa sphère de compétence. Elle sera donc considérée comme un consommateur. Raisonnement attendu.
* Vrai ou Faux : Un oligopole est un marché comportant une multitude d’offreurs pour quelques demandeurs. 	Faux : c’est l’inverse.
* Vrai ou Faux : Au prix d’équilibre la situation des agents économiques est optimale. 	VRAI
* Préciser qui a modélisé le processus de prise de décision et sous quelle forme.	Herbert Simon a modélisé le processus de prise de décision sous la forme du modèle IMC.
** Expliquer l’affirmation suivante : « un agent économique est un homo œconomicus ». 	Cela signifie qu’un agent économique prend des décisions rationnelles, c’est-à-dire toujours celles qui servent le mieux ses intérêts, donc des décisions logiques et calculées.
** Donner une définition du système d’information.	C’est un ensemble organisé de ressources (matériels, logiciels, personnel, données et procédures) qui permet de collecter, de classifier, de traiter et de diffuser de l'information.
** Distinguer cloud privé et cloud public.	Cloud privé : Solution d'hébergement interne à l’organisation. Cloud public : les serveurs d’un hébergeur externe accueillent les ressources de différents clients.
* Préciser le nom du théoricien qui a développé la théorie de la chaîne de valeur. 	La chaîne de valeur est une théorie développée par Mickaël Porter en 1986.
*** Présenter les cinq forces qui influencent la situation concurrentielle sur un marché.	Les concurrents directs, Les entrants potentiels, Le pouvoir de négociation des clients, Le pouvoir de négociation des fournisseurs, Les produits de substitution, (Les contraintes légales).
* Vrai ou Faux : Les fonctions régaliennes peuvent être déléguées par l’État à des agents économiques compétents. 	FAUX
* Vrai ou Faux : Un bien est rendu public pour favoriser le comportement du passager clandestin. 	Faux, c’est pou l’éviter.
** Définir la notion d’externalité.	 Une externalité est un effet externe positif ou négatif provoqué par les actions de production ou de consommation d’un agent économique sur le bien-être des autres agents économiques.
* Préciser quelle est la place de l’État dans l’économie au 20ème siècle.	État providence L’Etat intervient dans l’activité économique.
* Expliquer pourquoi l’État prend en charge les biens publics.	#NOM?
* Vrai ou Faux : Un bruit est une externalité négative. 	VRAI
* Vrai ou Faux : Les pays ne participent pas de manière égale aux échanges internationaux. 	Vrai, 22 pays assurent 75% des échanges
* Identifier les principaux pays participant au commerce mondial.	 Les pays de la Triade (52% en 2013), mais les les BRICS (~30%) prennent de plus en plus de place dans les échanges.
* Définir le terme « Norme ».	Une norme est un document de référence élaboré par un organe de normalisation reconnu comme l’ISO et l’AFNOR en France.
*** Citer deux effets positifs et deux effets négatifs des technologies numériques sur l’activité économique.	 + : Permet ä de la productivité des salariés (pas de tâches répétitives, meilleur accès à l’information,…), favorise les organisations structurelles plus souples / - : Problème d’ergostressie, floue entre vie privée et vie professionnelle, coûts (matériel, formation,…)
* Vrai ou Faux : Le développement durable ne prend en compte que des variables sociales et environnementales. 	Faux, ce concept prend également en compte des variables économiques, culturelles et de gouvernance.
** Le calcul du PIB présente des inconvénients. Citer en au moins deux.	 - Certaines activités ne sont pas comptabilisées alors qu’elles sont productives : bénévolat, bricolage, travail au noir - Certaines activités polluantes sont comptabilisées - Le PIB sous-estime les activités non-marchandes.
** Expliquer ce qu’est la démarche de Green-IT.	C’est une démarche éco-responsable mise en œuvre dans les entreprises du secteur informatique.
** Expliquer ce qu’est ce que le Yield Management.	C’est un modèle de tarification qui évolue en fonction de critères préétablis : période, niveau des ventes pour un meilleur arbitrage entre l’offre et la demande.
*** Renault a mis en place un EDI pour mieux communiquer avec ses sous-traitants. Présenter les avantages organisationnels et financiers de cette pratique.	+ organisationnels : diminution des erreurs donc des litiges, meilleure planification des stocks, réduction du temps de logistique / + financiers : réduction des coûts (moins de papier), réduction du cycle de transaction.
* Présenter l’ESN.	ESN = Entreprise de Services Numériques Entreprises qui proposent des services numériques à d’autres entreprises : cloud, formation, conseils, maintenance,… Ex : Alteca
* Définir la notion de production.	La production correspond à la transformation de ressources en produit finis ou semi-fini : les biens et ou les services.
* Préciser ce qu’est ce qu’un avantage concurrentiel.	C’est un avantage qu’une entreprise détient ou peut détenir à l’avenir par rapport à ses concurrents et qui lui permet d’atteindre une position dominante sur le marché et de la conserver.
** Lister les 6 catégories d’agents économiques et présenter leur rôle respectif.	Entreprise : produire et investir ; Banque : crédit et gestion d’épargne  Administration : service non marchand  Association : service privé Ménage+ EI : consommer et produire Reste du monde : import/export.
* Proposer 2 idées différentes expliquant le rôle du prix pour le consommateur.	Le prix est un élément de comparaison ; c’est aussi un indicateur de rareté, un moyen d’accéder à la satisfaction de ses besoins.
** Définir la fluidité.	C’est l’une des conditions d’un marché concurrentiel : la libre entrée et sortie des offreurs sur le marché permet l’installation de nouveaux concurrents ou au contraire leur disparition de manière naturelle, sans barrière.
** Expliquer la loi de l’offre et de la demande.	C’est la loi qui régit le fonctionnement des marchés concurrentiels et par laquelle les prix dépendent des quantités offertes et des quantités demandées. ↗Prix =↗ O et ↘D ↘Prix = ↘O et ↗D
** Indiquer la conséquence d’un excès d’offre pour la demande.	C’est une aubaine pour le consommateur car les prix vont diminuer pour retrouver l’équilibre. En revanche, c’est une situation délicate pour les offreurs qui sont trop nombreux sur le marché.
** Citer quatre éléments qui influencent la consommation des ménages.	Les décisions de consommation des ménages sont influencées par le prix des produits mais aussi par leur qualité, les effets de mimétismes, le goût, l’utilité, …
** Présenter les conditions pour qu’un marché soit concurrentiel.	Il doit respecter les conditions suivantes : atomicité, homogénéité, transparence et fluidité. + Explication.
** Citer trois avantages et deux inconvénients du logiciel libre pour le concepteur de logiciel.	 + : gratuit ou quasi-gratuit / code source accessible donc logiciel adaptable / MAJ par une communauté d’utilisateurs. - : ne génère pas directement de chiffre d’affaires, risque d’abandon du logiciel par la communauté.
* Vrai ou Faux : Une situation optimale peut être une situation où un agent économique profite de tout sur le marché et les autres de rien.	VRAI
* Présenter le modèle IMC dans la théorie de la décision.	 · I = Intelligence = Identification du problème   · M = Modélisation = Recherche de solutions       · C = Choix = Choix d’une solution.
** Expliquer pourquoi les économistes contemporains pensent-ils que les agents économiques prennent des décisions en situation de rationalité limitée.	Parce que les agents économiques doivent faire face à des situations d’asymétrie d’information. Ils prennent donc des décisions satisfaisantes mais non optimales.
* Expliquer la notion d’infogérance.	C’est le choix pour une entreprise d’externaliser tout ou partie de son système d’information.
** Citer trois avantages de l’informatique en nuage.	La réduction des coûts de stockage de l’information en interne, pour profiter des compétences d’un spécialiste, la possibilité de se concentrer sur son cœur de métier, la disponibilité des données et des applications en tous lieux.
*** Expliquer la théorie de la chaîne de valeur.	Elle consiste à diviser l’entreprise en un ensemble de services ou activités homogènes (activités principales et activités de soutien) qui concourent tous à la réalisation de la performance de l’entreprise.
** Je suis une personne de droit public constituée d’un ensemble d’institutions qui permettent l’administration et la protection du territoire. Qui suis-je ?	État
* Vrai ou Faux : L’Autorité de la concurrence est une autorité administrative indépendante. 	VRAI
** Présenter l’État.	 L’État est représenté par 4 catégories d’administration : administrations centrales, administration de sécurité sociale, administrations locales et autorités administratives indépendantes.
** Donner une définition du passager clandestin.	 Personne qui profite d’une situation pour ne pas en assumer les conséquences notamment financière.
** Préciser quelle est la place de l’État dans l’économie au 21ème siècle.	L’État providence est critiqué. Il existe toujours mais se caractérise par moins d’intervention de l’État car cela a créé du déficit et n’a pas empêché le développement du chômage.
** Rappeler la méthode d’analyse d’un marché.	Intro : définition du marché, présentation du marché concerné 1/ Analyse statique : le marché est-il concurrentiel ? 2/ Analyse dynamique : évolution du marché dans le temps. Conclusion
* Vrai ou Faux : Les ménages financent les biens publics. 	VRAI Par le biais des prélèvements obligatoires.
** Expliquer la théorie HOS.	 Allocation optimale des ressources par l’échange : chaque pays a intérêt à se spécialiser dans les productions pour lesquels il dispose des facteurs de production les plus adaptés.
** Présenter la théorie des avantages comparatifs de David Ricardo.	 Chaque pays a intérêt à se spécialiser dans les productions pour lesquelles il a l’avantage le plus fort ou le désavantage le plus faible.
* Définir le terme de « Standard ».	Un standard est un ensemble de règles élaborées par un petit nombre d’acteurs (des consortiums, des forums c'est-à-dire par des organisations non officielles) et communément adoptées sur un marché.
** Définir la notion de croissance.	 C’est la richesse créée par une Nation pendant une longue période.
*** Préciser le lien existant entre croissance et développement.	 Il n’y a pas de développement sans croissance. Mais la croissance ne s’accompagne pas nécessairement d’un développement du pays.
** Citer les trois principes sur lesquels se fondent le développement durable.	 - Principe de solidarité - Principe de précaution - Principe de prévention
** Nommer la démarche éco-responsable mise en œuvre dans les entreprises utilisatrices de produits informatiques, notamment pour les inciter à recycler.	IT for Green.
** Micropole est une société de conseils, et d’ingénierie évoluant sur le marché de la Business Intelligence. Identifier sa branche et son secteur d’activité.	Branche d’activité : ESN Secteur d’activité : tertiaire.
** Expliquer ce qu’est un EDI.	L’échange de données informatisées est une technique qui permet les échanges, selon un format standardisé, entre ordinateurs connectés par liaisons spécialisées ou par un réseau (privatif) à valeur ajoutée (RVA)
* Préciser à quelle branche d’activité appartiennent les entreprises EBP et CEGID.	Ce sont des éditeurs de logiciels.
* Expliquer ce qu’est le processus de production.	C’est une succession d’opérations coordonnées et consommant des ressources pour aboutir au bien ou au service marchand.
** Expliquer les raisons pour lesquelles une entreprise recherche l’avantage concurrentiel.	Cet avantage permet à l’entreprise de s’assurer une position dominante sur le marché et de bénéficier d’une rente (temporaire) de situation. Toute autre explication cohérente sera acceptée.
** Expliquer les règles de fixation des prix sur un marché concurrentiel. 	Par le jeu de la loi de l’offre et de la demande. + Explication
** Définir l’atomicité.	C’est l’une des conditions d’un marché concurrentiel : c’est la présence d’un grand nombreux d’offreurs et d’un grand nombre de demandeurs sur le marché pour qu’aucun d’entre eux à lui seul n’influencent la fixation du prix.
* Nommer l’agent économique qui met à disposition sur le marché un bien, un service, du travail ou du capital.	C’est un offreur.
** Donner une définition de la monnaie.	La monnaie est un actif liquide accepté par tous à sa valeur nominale pour effectuer des échanges ou pour épargner. Elle sert aussi d’unité de compte.
* Préciser l’évolution de la demande si le prix augmente.	La demande diminue.
** Préciser de quoi dépend le prix de vente du producteur.	Du coût de production, des prix de vente des concurrents, de l’importance de la demande.
** Présenter les quatre fonctions de la monnaie.	La monnaie présente trois fonctions économiques… : instrument d’échange, réserve de valeur et unité de compte … et une fonction sociale : permettre de vivre en société, instrument de socialisation.
** Citer trois avantages et deux inconvénients du logiciel propriétaire pour le concepteur de logiciel.	 + : génère du chiffre d’affaires car code source caché, maintenance par l’entreprise créatrice du logiciel, logiciel sécurisé - : recrutement des concepteurs (coûts), pas de communauté pour les MAJ, évolutions soumises aux souhaits de l’entreprise créatrice.
* En situation d’excès de demande, il faut augmenter les prix pour revenir à l’équilibre sur le marché.	 VRAI
* Distinguer information et donnée.	Une information est un renseignement utile pour la prise de décision et qui prend son sens dans un contexte. Une donnée est une information élémentaire pouvant être numérisée.
** Citer deux comportements irrationnels qui peuvent pousser un individu à consommer.	Le mimétisme (volonté d’appartenir à un groupe), les comportements moutonniers (faire comme les autres sans se poser de questions), les goûts, les effets de mode,…
* Préciser la dénomination juridique de l’entreprise qui externalise son système d’information.	L’entreprise donneuse d’ordre.
** Citer trois inconvénients de l’informatique en nuage.	La sécurisation des données Les coûts liés à l’externalisation, La perte de compétences en interne, Le risque de dépendance au prestataire,…
*** Expliquer comment les technologies numériques peuvent permettre d’améliorer la chaîne de valeur.	Meilleure réactivité des services par une information diffusée en temps réel, éviter les tâches répétitives, comprendre que chaque service participe à la création de valeur (relation client-fournisseur interne).
* Identifier la fonction de l’État permettant de couvrir les risques sociaux, de distribuer des revenus de transfert et d’apporter des services publics.	Fonction de redistribution
* Vrai ou Faux : L’État providence a permis l’avènement de la Sécurité Sociale en France. 	VRAI
** Présenter les fonctions de l’État.	 Il y en a 4 : fonctions régalienne, de redistribution, de régulation et de production + Explications
* Vrai ou Faux : Le marché des droits à polluer permet aux entreprises de polluer sans contraintes. 	Faux, le dépassement d’un certain seuil les oblige à acheter des droits à polluer sur le marché.
** Proposer deux raisons expliquant pourquoi l’État prend en charge les externalités négatives.	- Il est impossible d’identifier les agents économiques à l’origine des externalités négatives - La gestion de ces externalités est très coûteuse.
** Présenter les barrières qui peuvent exister à l’entrée d’un marché.	Barrières technologiques, stratégiques, économiques, légales. + Explications.
** Indiquer les conséquences d’une augmentation durable et généralisée des prix.	 En période d’inflation, les ménages demandent des augmentations de salaires, ce qui augmente les coûts de production des entreprises, qui ont alors tendance à augmenter à leur tour le prix de leurs produits. Cercle vicieux.
* Vrai ou Faux : Adam SMITH est le père de la théorie des avantages relatifs. 	Faux, C’est David RICARDO
* Préciser ce que signifie HOS dans la théorie du même nom.	 HOS est un acronyme reprenant l’initiale des 3 auteurs de la théorie : Heckscher, Ohlin et Samuelson.
** Expliquer pourquoi adopter une norme ou un standard dans le secteur informatique.	Pour permettre l’interopérabilité des systèmes informatiques, donc améliorer la communication, la transmission d’informations entre différents SI, faciliter l’effet réseau et les rendements d’échelle,…
* Vrai ou Faux : Il peut y avoir croissance sans développement. 	VRAI
* Nommer l’indicateur mesurant la croissance, le niveau de scolarisation et de santé d’un pays.	 L’indicateur de développement humain (IDH).
** Présenter un instrument permettant 	de mesurer le développement durable. L’emprunte écologique ou le PIB vert + Explication.
* Citer les différents types de relations marchandes que les agents économiques peuvent entretenir entre eux.	BtoB BtoC CtoC
*** Préciser pourquoi Apple a fait le choix de fabriquer les composants de son iPhone dans différents pays.	Apple pratique la DIPP (division internationale du processus de production) afin de fabriquer chaque composant dans le pays garantissant le coût de production (notamment main-d’œuvre) le plus bas.
** Vision conçoit des jeux vidéo. Proposer 2 raisons expliquant que l’entreprise souhaite investir le marché des jeux pour smartphone.	1/ Pour obtenir de nouveaux débouchés en accédant à un nouveau segment du marché du jeu vidéo. 2/ Pour faire face à la concurrence. 3/ Pour s’adapter à l’évolution de sa clientèle. 4/ Pour augmenter son chiffre d’affaires. 
