* Ensemble de règles qui régissent les rapports des membres d’une même société. Qui suis-je ? 	Le Droit.
** Citer deux moyens de preuve admis par le juge français.	 Il va admettre prioritairement les actes authentiques et les actes sous seing privé. Mais il peut aussi admettre l’aveu, le serment, le témoignage.
* Préciser qui délivre la signature électronique.	Un tiers de confiance.
* La Cour de cassation est la juridiction suprême de doit public.	Vrai ou faux ? FAUX, c’est la juridiction suprême de droit privé.
* Expliquer ce que signifie l’expression « Par ces motifs, rejette ».	La Cour de cassation rejette la demande au pourvoi et confirme donc la décision de la Cour d’appel.
* Le droit public régit les rapports des particuliers entre eux. Vrai ou faux ? 	 Faux, c’est le droit privé.
* Citer les caractéristiques de la règle de droit.	La règle de droit présente 4 caractéristiques : elle est permanente, obligatoire, impersonnelle (générale et abstraite) et doit respecter le principe de la neutralité technologique.
* Expliquer ce qu’est l’équivalence fonctionnelle.	Principe selon lequel l’écrit électronique sera accepté par le juge à titre de preuve au même titre que l’écrit papier, à condition qu’il respecte les mêmes conditions de validité (authenticité, intégrité du document).
* Trouvez le bon mot :	Aptitude d’une personne à acquérir des droits et à exercer les prérogatives qui y sont rattachées. La capacité juridique.
* Précisez quand commence et quand fini la personnalité juridique d’une personne morale.	La personnalité d’une personne morale commence au jour de son immatriculation et disparaît au jour de sa dissolution.
* L’usurpation d’identité n’est qu’un phénomène numérique. Vrai ou faux ?	Faux, il existe de nombreux cas d’usurpation de l’identité juridique.
* Ma page Facebook est un élément de mon identité numérique. Vrai ou faux ?	 VRAI
** Proposer 3 solutions différentes pour protéger son identité numérique.	Ne pas divulguer ses mots de passe, crypter ses données sensibles, ne pas tout dire sur Internet, surveiller son identité numérique, développer sa e-réputation, user de son droit de modification et/ou de rectification auprès de la CNIL,…
** Expliquer l’article 34 de la Constitution française actuelle : « la loi est votée par le Parlement ».	La loi émane du pouvoir législatif, qui peut être à l’origine du texte (proposition de loi) mais surtout qui discute le texte et le vote grâce à un système de navette entre l’Assemblée Nationale et le Sénat.
** Présenter les deux sources de droit communautaire et leurs modalités d’application sur le territoire national.	Il existe 2 sources de droit communautaire : les règlements (qui sont directement applicables en droit national) et les directives (qui doivent être transposées en droit national pour être applicables).
** La jurisprudence est constituée uniquement des décisions prises par la Cour de cassation. Vrai ou Faux ?	Faux. Les décisions prises par tous les tribunaux constituent la jurisprudence. Mais les décisions adoptées par la Cour de cassation y tiennent une place importante car c’est la Cour suprême de droit privé.
* Définir la doctrine.	C’est l’ensemble des études et des recherches effectuées par les professionnels du droit (professeurs, avocats,…) afin de faire avancer la réflexion sur les problèmes de droit.
* Préciser qui rend les jugements en 1er et dernier ressort.	Ces jugements sont rendus par le juge de proximité, qui étudient les affaires de <4000€.
* Chaque individu a le droit à un procès équitable. Expliquer.	En effet, chaque individu a droit d'être jugé par un juge indépendant et impartial, dans le cadre d'un procès équitable au cours duquel il sera entendu par le juge.
** L’affaire de M Y fait l’objet d’un renvoi en CA après cassation. Cette dernière ne suit pas les recommandations de la Cour de cassation. Déterminer s’il reste des voies de recours à M Y.	Il reste des voies de recours à M Y. Il peut se pourvoir à nouveau en cassation pour qu’elle se réunisse en Assemblée Plénière.
*** Une affaire provenant d’un juge de proximité et ayant fait l’objet d’un pourvoi en cassation sera renvoyée par la Cour de cassation devant une Cour d’appel. Vrai ou Faux ?	Faux, les affaires sont toujours renvoyées devant des cours de même degré. Par conséquent, s’il y a renvoi, ce sera devant un autre juge de proximité.
* Indiquer le lieu du siège du tribunal correctionnel.	Auprès du TGI.
** Distinguer la médiation, la conciliation et l’arbitrage.	Médiation : aider les parties à discuter et à trouver elles-mêmes des solutions ; Conciliation : proposer des solutions que les parties peuvent accepter ou non ; Arbitrage : imposer des solutions aux parties.
* Définir l’acte authentique.	C’est un acte signé devant un notaire.
** Définir le commencement de preuve par écrit.	(et citer un exemple) C’est un élément de preuve écrit mais qui n’est ni un acte authentique ni un acte sous seing privé. Ex : un talon de chèque, une facture, un relevé de compte bancaire, un SMS, un mail,…
** Préciser qui supporte la charge de la preuve dans un procès.	La charge de la preuve est supportée par le demandeur, sauf en cas de présomption légale (il y a alors renversement de la charge de la preuve).
* La Cour d’appel rend un arrêt confirmatif. Cela signifie-t-il qu’elle est d’accord avec le tribunal de 1ère instance ?	 OUI
** Le droit administratif est du ressort de la Cour de cassation. Vrai ou Faux ? (Justifier).	FAUX, le droit administratif appartient à la branche du droit public alors que la Cour de cassation est compétente en droit privé.
* Distinguer droit public et droit privé.	 Le droit public organise le fonctionnement des institutions et les relations de l’État avec les particuliers tandis que le droit privé organise les relations des particuliers entre eux.
* Une règle permanente est une règle qui ne peut pas être abrogée. Vrai ou faux ?	Faux, c’est une règle qui s’applique tant qu’elle n’a pas été abrogée (c’est-à-dire supprimée).
* Définir la personnalité juridique.	C’est l’aptitude d’une personne à être titulaire de droits et à être soumise à des obligations.
* Lister au moins quatre éléments d’identification d’une personne physique.	 Une personne physique est identifiable grâce à son nom, ses prénoms, son sexe, sa date de naissance, son domicile, sa nationalité, son adn, son empreinte génétique,…
** Indiquer les conséquences de l’obtention de la personnalité juridique pour une personne physique.	La personne physique détient des droits patrimoniaux et des droits extrapatrimoniaux et est alors soumise à des obligations. (droits et obligations ne suffisent pas).
* Distinguer usurpation d’identité et vol d’identité.	Usurpation d’identité : fait de prendre l’identité d’une personne vivante à son insu. Vol d’identité : fait de prendre l’identité d’une personne décédée.
* Citer le nom de la loi instaurant le délit d’usurpation d’identité numérique.	(Donner son nom et sa date précise). C’est la loi LOPPSI 2 du 14 mars 2011.
* La Constitution française actuelle est celle de la 5ème République. Elle date de 1946. Vrai ou Faux ?	Faux, la Constitution française actuelle est bien celle de la 5ème République. Mais elle date de 1958.
** Définir l’expression « promulguer une loi ».	Promulguer signifie qu’après avoir été voté par le Parlement, le texte de loi est envoyé pour signature auprès du Président de la République.
* Comment appelle-t-on un texte signé entre deux ou plusieurs États ?	On parle de traité. S’il est signé entre 2 États : c’est un traité bilatéral ; s’il est signé par plusieurs États : c’est un traité multilatéral.
* Distinguer les usages et les coutumes.	Les usages sont d’origine professionnelle, tandis que les coutumes proviennent des habitudes de la société française, de l’histoire du pays.
* L’ensemble des décisions de justice constitue la doctrine. Vrai ou faux ? 	Faux, c’est la jurisprudence.
*** La justice française est organisée selon le principe de la dualité des ordres de juridictions. Expliquer ce principe.	La justice française est organisée selon le principe du double ordre de juridiction : elle est constituée d’un ordre administratif et d’un ordre judiciaire.
** Citer le nom des chambres de la Cour de cassation.	La Cour de cassation comprend 6 chambres : trois chambres civiles, une chambre sociale, une chambre commerciale et une chambre criminelle.
** Indiquer le rôle de la Cour d’appel qui reçoit un dossier après renvoi de l’Assemblé Plénière de la Cour de cassation.	Cette Cour d’appel statue en respectant la décision prise par la Cour de Cassation.
** Citer le nom des tribunaux de 1ère instance correspondant aux branches de droit suivantes : droit commercial, droit du travail et droit civil.	- Droit commercial = tribunal de commerce ; - Droit du travail = Conseil de prud’hommes ; - Droit civil = juge de proximité, TI et TGI.
*** Martin télécharge illégalement un film. Choisir le tribunal compétent pour juger de l’affaire. (cas pratique)	Le téléchargement illégal étant un délit, il sera juge par le tribunal correctionnel.
* Préciser la signification de l’acronyme MARC.	MARC = Mode Alternatif de Règlement des Conflits. (On peut aussi parler de MARL ou de MARD.)
* Définir l’acte sous seing privé.	C’est un acte qui est conclu entre deux parties. C’est un acte signé.
** Indiquer les deux apports de la loi du 13 mars 2000.	 Cette loi précise que : 1/ L’écrit numérique a la même valeur que l’écrit papier (principe de l’équivalence fonctionnelle) 2/ A condition que cet écrit numérique comporte une signature électronique.
* Indiquer le rôle du juge dans un procès civil.	Il doit entendre les parties et trancher le litige. (Mais en tout état de cause, il doit rester neutre et chercher la commune intention des parties.)
* Une signature scannée est une signature électronique. 	Vrai ou Faux ? FAUX
** Présenter la particularité du droit de l’informatique	Le droit de l’informatique apparaît dans de nombreuses branches de droit : droit civil, droit du travail, droit de la propriété intellectuelle, droit pénal,
* Définir le contrat de travail.	C’est un accord de volonté par lequel le salarié, s’engage à exécuter une prestation de travail sous la subordination d’un employeur, moyennant une rémunération.
** Caractériser le CDI d’un ingénieur cadre chez IBM. (4 éléments de réponse attendus).	 Il a conclu un contrat synallagmatique, solennel (écrit imposé par la convention collective), à titre onéreux, avec intuitu personae, de gré-à-gré, commutatif, à exécution successive et à durée indéterminée.
** Le statut de fonctionnaire est définit par la loi du 13 mars 2000. Vrai ou faux ?	FAUX. Le statut du fonctionnaire est organisé par la loi du 13 juillet 1983. La loi du 13 mars 2000 est celle créant la signature électronique.
*** Mathilde est une femme indépendante, qui aime mener des projets et des équipes et qui ne compte pas ses heures de travail. Quel statut lui conseillez-vous ?	Le statut de travailleur indépendant. (Raisonnement attendu)
** Placer dans la hiérarchie des normes le contrat, la convention collective, la constitution, le règlement intérieur et la loi.	La constitution La loi La convention collective Le règlement intérieur Le contrat
** Le contrat de travail de l’informaticien est un contrat consensuel. Vrai ou faux ?	Faux. La convention collective impose l’écrit. C’est donc un contrat solennel.
*** Citer deux particularités de la période d’essai.	 1/ C’est la période qui s’ouvre après la conclusion du contrat de travail. Le contrat commence donc à l’exécuter. 2/ Les parties peuvent rompre librement le contrat, même si l’employeur doit avoir un motif légitime de la rompre.
*** Indiquer les conditions pour lesquelles une entreprise peut demander à un salarié d’effectuer le renouvellement de sa période d’essai.	Le renouvellement de la période d’essai ne se présume pas. Il doit avoir été prévu au contrat de travail et doit rester exceptionnelle et justifiée par les besoins de l’entreprise.
*** Citer 4 caractéristiques du contrat de travail d’une vendeuse en point de vente embauchée sans limite de durée.	Contrat synallagmatique, à titre onéreux, commutatif, consensuel, avec intuitu personae, d’adhésion, à exécution successive et en CDI.
** Baptiste termine son CDD chez MERCATOR. A quoi peut-il prétendre ?	- Indemnité égale à 10% des salaires bruts qu’il a reçus au cours de son CDD à titre de prise de fin de contrat. - Il pourra aussi prétendre aux indemnités chômage.
* Citer trois obligations qui incombent au salarié.	Entrer en fonction, réaliser individuellement la prestation, respecter le règlement intérieur, loyauté, discrétion, …
** Définir la clause de mobilité.	Clause insérée dans le contrat de travail par laquelle le salarié accepte par avance le changement de son lieu de travail (≠ déplacement). La clause de mobilité organise la mutation du salarié.
** Distinguer clause d’exclusivité et clause de non-concurrence.	La clause d’exclusivité s’applique en cours d’exécution du contrat de travail tandis que la clause de non concurrence prend effet après la fin du contrat de travail.
*** Léa, 45ans, vient de reprendre une activité professionnelle après 3 ans d’arrêt. Identifier et justifier le dispositif de formation adaptée à sa situation.	 La période de professionnalisation + Justification.
*** Salarié depuis 3 ans, Fouad souhaite obtenir un BTS. Pour cela, il obtient une disponibilité d’1an et s’inscrit au Greta. Déterminer le dispositif de formation dont il bénéficie.	Fouad est à l’initiative de la demande de formation. Il a obtenu un congé de longue durée. Il a au moins 2 ans d’ancienneté, consécutifs ou non, en tant que salarié dont 12 mois dans l’entreprise. CCL : il a demande un CIF.
*** Déterminer comment obtenir un diplôme en cours de carrière sans passer les examens pour l’obtenir.	Grâce à la VAE, mais à condition de justifier de 3ans d’expérience en rapport avec l’objet de la demande et que le salarié ait au moins 5 ans d’ancienneté dont 12 mois dans l’entreprise.
** Préciser à quelles conditions un salarié peut bénéficier d’un CIF.	Le salarié doit avoir au moins 2 ans d’ancienneté, consécutifs ou non, en tant que salarié dont 12 mois dans l’entreprise. Il doit respecter une franchise entre deux congés de 6 mois à 6 ans. La demande doit être formulée par écrit.
*** Un salarié de chez Carrefour, affecté au rayon informatique doit désormais travailler au rayon jardinerie. Préciser s’il peut refuser ce changement.	Le changement de poste pour effectuer des tâches équivalentes est considéré comme un changement des conditions de travail. Le salarié ne peut pas refuser.
** Une entreprise fusionne avec une autre. Indiquer la qualification retenue par le code du travail pour justifier de l’application de l’article L1224-1.	On parle de transfert d’entité économique autonome.
** Expliquer le fait que l’employeur puisse imposer des modifications des conditions de travail au salarié sans obtenir son accord préalable.	1/ En vertu du lien de subordination qui existe entre l’employeur et le salarié. ET 2/ En vertu du pouvoir de direction qui est conféré à l’employeur.
*** Présenter la démission : définition, particularité, procédure, conséquence.	 Def : rupture du CDI à l’initiative du salarié. Particularités : doit être claire et non-équivoque (pas de pression). Procédure : il n’y en a pas, pas de motif à donner / CSQ : pas d’indemnité chômage.
* Présenter les différents motifs de licenciement.	L’employeur peut licencier un salarié pour deux motifs : - Le motif personnel (faute) - Le motif économique
** Indiquer les conséquences d’un licenciement abusif dans une entreprise de -10 salariés ou pour un salarié ayant -2 ans ancienneté.	Il peut demander une indemnité égale au préjudice subi. (réintégration impossible).
** Préciser les 2 raisons permettant la mise en œuvre d’un licenciement économique.	1/ Le motif de licenciement doit être non inhérent à la personne du salarié (il n’a commis aucune faute), 2/L’entreprise doit rencontrer des difficultés économiques ou doit faire face à des mutations technologiques.
** Un salarié âgé peut être licencié avant un salarié jeune en cas de licenciement économique. Vrai ou faux ?	Vrai, si le critère de licenciement est le poids financier que représente les différents salariés par exemple.
* Tout salarié en CDI peut obtenir une rupture conventionnelle de son contrat de travail. Vrai ou faux ?	VRAI, Mais l’inspection doit donner son accord pour les salariés protégés.
* Présenter l’organisation du conseil de prud’hommes.	Juridiction constituée d’un bureau de conciliation et d’orientation chargé de trouver une solution amiable entre les parties ou de les orienter vers un bureau de jugement en cas d’échec ; et d’un bureau de jugement qui peut prendre 3 formes : un bureau restreint, un bureau de droit commun ou un bureau de départage (avec un juge du TGI).
* Proposer trois formes différentes de cybersurveillance.	Le contrôle des accès : badges, biométrie ; la vidéosurveillance ; le contrôle des communications téléphoniques ; la géolocalisation ; le contrôles des postes informatiques, des messageries, des fichiers,…
** Exposer une raison expliquant l’encadrement par la loi du pouvoir de surveillance de l’employeur.	Pour éviter les pratiques abusives de la part de l’employeur pouvant conduire à des sanctions disciplinaires et pour respecter la vie privée du salarié (principe constitutionnel).
* Indiquer le temps de conservation des images d’un système de vidéosurveillance.	1 mois maximum.
* Définir la géolocalisation.	Dispositif permettant d’identifier la position géographique, à un instant donnée ou en continu, des salariés de l’entreprise, par la localisation de matériels dont ils ont l’usage (ex : véhicule, ordinateurs,…)
** Déterminer si la charte informatique est- une obligation légale pour l’employeur.	La charte informatique n’est pas imposée par la loi. Elle est fortement conseillée par la CNIL. A défaut de charte informatique, les mesures prises par l’employeur en matière informatique doivent apparaître dans le règlement intérieur.
*** Mathieu stocke des fichiers personnels dans un dossier intitulé « MATHIEU ». Expliquer si ce dossier peut être consulté par l’employeur.	 Tout fichier stocké sur des outils professionnels est présumé être professionnel, sauf ceux stockés dans un dossier intitulés « PERSONNEL ». Ainsi, comme ce n’est pas l’intitulé choisi par Mathieu, l’employeur peut consulter le dossier même en dehors de la présence du salarié.
** Préciser le rôle de l’administrateur système et réseau lorsqu’il découvre des contenus illicites sur le réseau de l’entreprise.	Il a l’obligation de dénoncer ces faits auprès de l’employeur et des autorités compétentes (services de police, de justice, CNIL,…).
** Expliquer les conséquences d’une modification des conditions de travail.	Elle est imposée par l’employeur au salarié qui ne peut la refuser, dans le cadre de son pouvoir de direction. Si le salarié refuse, il sera licencié pour faute.
* Indiquer le critère déterminant du contrat de travail.	Le lien de subordination.
** Une personne qui s’engage à réaliser un travail, en toute autonomie, moyennant une rémunération est un travailleur salarié.	Vrai ou Faux ? FAUX, c’est un travailleur indépendant. Le travailleur salarié se place sous l’autorité de l’employeur. Il existe un lien de subordination entre eux.
* Définir le travailleur indépendant.	C’est celui qui exerce une activité économique, en supporte les risques et profite des bénéfices éventuels. Il est autonome dans l’exercice de son activité.
* Définir la période d’essai.	Période s’ouvrant au jour de la conclusion du contrat et pendant laquelle le salarié comme l’employeur vérifient l’adéquation du salarié au poste. Peut être rompue à tout moment.
*** Préciser les principes juridiques qui s’appliquent lors de l’embauche d’un futur salarié.	L’employeur a la liberté d’embauche mais il ne doit pas discriminer un candidat. Il doit également informer le candidat des modalités de recrutement (ppe de transparence) et ne poser que des questions en rapport avec le poste à pourvoir (ppe de pertinence).
** Expliquer le mécanisme juridique du travail temporaire.	Le travail temporaire est organisé à l’aide d’un contrat de mission entre le salarié et l’agence d’intérim et d’un contrat de mise à disposition entre l’agence d’intérim et l’entreprise.
** Préciser si la période d’essai peut être renouvelée et combien de fois.	 Le renouvellement de la période d’essai ne se présume pas. Il est possible de la renouveler une fois que si le contrat de travail et la convention collective le prévoit.
*** Bénédicte, en CDI avec période d’essai de 4 mois, est entrée en fonction le 1er octobre. Déterminer son statut au sein de l’entreprise (ETAM ou cadre).	Depuis 2008, les employés et techniciens ont une période d’essai de 2 mois, les agents de maîtrise de 3 mois et les cadres de 4 mois. Ainsi, Bénédicte a été embauchée en tant que cadre.
** Citer trois cas dans lesquels il est possible d’avoir recours au CDD.	Ex accroissement temporaire d’activité, remplacement d’un salarié absent, remplacement d’un salarié passé temporairement à temps partiel, travail saisonnier, CDD d’usage, …
*** Justin, en CDD dans un restaurant, casse de la vaisselle tous les soirs lors de la plonge. Déterminer si l’entreprise peut mettre fin au CDD.	PPE : il n’est pas possible de rompre un CDD avant l’arrivée de son terme, sauf faute grave du salarié. Le bris de vaisselle régulière est constitutif d’une faute grave. CCL : L’entreprise peut rompre par anticipation le CDD de Justin.
* Citer trois obligations qui incombent à l’employeur.	Fournir le travail au salarié, fournir les outils adéquat pour la réalisation du travail, rémunérer le salarié, assurer sa sécurité, respecter le droit du travail, verser les cotisations sociales,…
** Définir la clause de non-concurrence.	Clause par laquelle le salarié s’engage à ne pas concurrencer l’entreprise qu’il quitte pendant un certain temps et dans une zone géographique donnée, en contrepartie d’une indemnité.
**Définir la clause de dédit-formation.	Clause qui oblige le salarié, qui a bénéficié d’une formation, à rester dans l’entreprise pendant un certain temps pour permettre à celle-ci un retour sur investissement, sinon il devra indemniser l’entreprise.
** Citer deux obligations de l’employeur en matière de formation professionnelle.	 Il a une obligation financière (% de sa masse salariale consacré à la formation), une obligation d’adaptation des salariés à l’emploi et une obligation de participer à la négociation collective tous les trois ans.
*** Solène souhaite obtenir une certification en référencement Web. Elle obtient une formation de 5 jours. Déterminer le dispositif de formation dont elle bénéficie.	Solène est à l’initiative de la formation. Celle-ci est de courte durée (35h). CCL : Elle utilise les heures qu’elle a cumulée dans son CPF pour suivre cette formation.
** Indiquer la périodicité à laquelle la formation professionnelle doit faire l’objet d’une négociation collective.	Tous les 3 ans.
** Déterminer si la formation professionnelle est un droit ou une obligation pour le salarié.	C’est un droit (article L6321-1 du code du travail) et une obligation (le temps de formation est du temps de travail effectif si la formation est proposée dans le cadre du plan de formation).
*** L’entreprise s’installe dans ses nouveaux locaux à 3 km des anciens. Déterminer si un salarié peut refuser ce changement.	Le changement de lieu de travail à 3km est assimilé à une modification des conditions de travail. Le salarié ne peut pas refuser. Mais, l’entreprise doit mettre un moyen de transport à disposition du salarié pour qu’il se rende sur le nouveau lieu de travail si nécessaire.
*** Envisager les conséquences d’un transfert d’entité économique autonome pour le nouvel employeur comme pour les salariés repris.	Le nouvel employeur a l’obligation de reprendre les contrats en cours, et il assume les conséquences d’éventuels licenciements. Les salariés ont l’obligation de travailler pour le nouvel employeur.
*** Expliquer de quelle manière le principe du contradictoire est respecté dans la procédure de licenciement.	Il est respecté lorsque la procédure est convenablement suivie. Ex : lorsque le salarié est informé des motifs de licenciement dans un délai raisonnable, lorsqu’il est convoqué à un entretien ou lorsqu’il se fait accompagner tout au long de la procédure,…
*** Un salarié peut revenir sur sa décision de démissionner s’il a rédigé sa lettre après s’être disputé avec son supérieur hiérarchique. 	Vrai ou Faux ? (justifier) Pour être valable, la démission doit être claire et non équivoque. Une démission donnée sous le coup de la colère n’est pas valable car équivoque. Donc, VRAI
* Expliquer ce qu’est une cause réelle et sérieuse de licenciement.	Cause réelle : qui repose sur des faits objectifs, Cause sérieuse : d’une certaine gravité.
** Préciser les étapes de la procédure de licenciement individuel.	C’est une procédure se déroulant en 3 étapes : convocation (date, heure, lieu, représentation, envoi par LR ou remise en main propre), entretien (principe du contradictoire), notification (par LRAR).
** Expliquer si la présence de l’entretien au cours de la procédure de licenciement du salarié suffit à respecter le principe du contradictoire.	C’est un principe devant permettre à chaque partie de s’exprimer au cours des procédures de licenciement. Ainsi, l’entretien y contribue dans la procédure de licenciement mais n’est pas suffisant.
** La règle du « dernier arrivé – premier parti » s’applique toujours en cas de licenciement économique. Vrai ou faux ?	Faux, tout dépend des critères de licenciement retenus par l’entreprise. « dernier arrivé – premier parti » = critère d’ancienneté
** Citer deux spécificités du conseil de prud’hommes.	C’est une juridiction mixte paritaire et non professionnelle (2 juges employeurs/2 juges salariés). Ils sont élus par les salariés et les employeurs. La procédure se déroule en 2 étapes : la conciliation et éventuellement le jugement.
** Préciser les voies de recours d’un salarié qui n’ayant pas obtenu satisfaction devant le conseil de prud’hommes.	Il peut faire appel du jugement à condition que la valeur totale de ses prétentions soit > 4 000 € (puis se pourvoir en cassation si nécessaire). Les litiges dont le montant est < 4 000 € sont seulement susceptibles d’un pourvoi en cassation.
